"left"	"op"	"right"	"expected_class"	"actual_class"	"truth_ok"	"class_ok"	"warnings"	"error"
"CnfAtom_FALSE_owned"	"|"	"clause"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"&"	"formula"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"|"	"formula"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"&"	"raw_true"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"|"	"raw_true"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"&"	"raw_false"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"|"	"raw_false"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"&"	"CnfAtom_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"|"	"CnfAtom_FALSE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"&"	"CnfAtom_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"|"	"CnfAtom_FALSE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"&"	"CnfAtom_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"|"	"CnfAtom_TRUE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"&"	"CnfAtom_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"|"	"CnfAtom_TRUE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"&"	"CnfClause_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"|"	"CnfClause_FALSE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"&"	"CnfClause_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"|"	"CnfClause_FALSE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"&"	"CnfClause_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"|"	"CnfClause_TRUE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"&"	"CnfClause_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"|"	"CnfClause_TRUE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
